title,production_date,runtime_minutes,director,average_rating,num_votes,approval_index,prod_budget,domestic_gross,worldwide_gross,action,adventure,animation,biography,comedy,crime,documentary,drama,family,fantasy,film-noir,history,horror,music,musical,mystery,news,romance,sci-fi,sport,thriller,war,western
Elmer Gantry,-299376000,146.0,1411,7.7,11985.0,5.188670841016614,3000000,10400000,10400064,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Next Day Air,1241740800,84.0,135,5.7,10818.0,3.763759906174719,3000000,10027047,10172519,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Judgment at Nuremberg,-253584000,179.0,1594,8.3,78879.0,6.75392201202015,3000000,10000000,10000000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Belly,910137600,96.0,629,6.2,11605.0,4.137512279553591,3000000,9639390,9639390,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Before Midnight,1369180800,109.0,1423,7.9,161062.0,6.837013257321515,3000000,8110621,23241189,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Teen Wolf Too,564364800,95.0,263,3.4,11962.0,2.217002160894839,3000000,7888000,7888000,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
The Collector,1248998400,90.0,1060,6.3,67170.0,5.02022218291293,3000000,7712114,10473836,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
Phantasm II,584323200,97.0,418,6.4,15736.0,4.418623194439727,3000000,7282851,7282851,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Let There Be Light,1509062400,100.0,967,4.4,2931.0,2.452543162242373,3000000,7233471,7241309,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Phat Girlz,1144368000,99.0,1266,3.3,9146.0,2.08274750853046,3000000,7061128,7301115,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Woman Thou Art Loosed,1096588800,94.0,1185,6.6,977.0,3.211247841854747,3000000,6879730,6879730,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Real Women Have Curves,1034899200,90.0,1297,6.9,7750.0,4.414567097895405,3000000,5853194,7777790,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gallipoli,366508800,110.0,1362,7.4,40303.0,5.641678229998934,3000000,5732587,5732587,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
