title,production_date,runtime_minutes,director,average_rating,num_votes,approval_index,prod_budget,domestic_gross,worldwide_gross,action,adventure,animation,biography,comedy,crime,documentary,drama,family,fantasy,film-noir,history,horror,music,musical,mystery,news,romance,sci-fi,sport,thriller,war,western
Avatar: The Way of Water,1670544000,192.0,664,7.8,277543.0,7.061100943995044,460000000,667830256,2265935552,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Pirates of the Caribbean: On Stranger Tides,1305849600,137.0,1445,6.6,533763.0,6.272064273410888,379000000,241071802,1045713802,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Avengers: Age of Ultron,1429660800,141.0,899,7.3,870573.0,7.21401334314958,365000000,459005868,1395316979,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Justice League,1510531200,120.0,1829,6.1,456977.0,5.7172124919319725,300000000,229024295,655945209,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Spectre,1444089600,148.0,1531,6.8,445461.0,6.375644351199071,300000000,200074175,879077344,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Solo: A Star Wars Story,1527033600,135.0,1497,6.9,352604.0,6.352667900355968,275000000,213767512,393151347,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
John Carter,1331078400,132.0,74,6.6,275965.0,5.951727572261911,263700000,73058679,282778100,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Batman v Superman: Dawn of Justice,1458691200,151.0,1829,6.4,704314.0,6.208569086473743,263000000,330360194,872395091,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
The Lion King,1562803200,118.0,851,6.8,248695.0,6.0840220443103545,260000000,543638043,1647733638,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spider-Man 3,1178236800,139.0,1534,6.3,597302.0,6.033111095767313,258000000,336530303,894860230,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Thor: Love and Thunder,1656633600,118.0,1665,6.3,340924.0,5.773184359213031,250000000,343256830,760928081,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Harry Potter and the Half-Blood Prince,1247616000,153.0,378,7.6,552559.0,7.261703060250369,250000000,302089278,929411069,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Hobbit: The Desolation of Smaug,1386806400,161.0,1348,7.8,670151.0,7.566996841361596,250000000,258241522,959358436,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
The Hobbit: The Battle of the Five Armies,1418169600,144.0,1348,7.4,539316.0,7.05392872670275,250000000,255119788,940323039,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
The Fate of the Furious,1491523200,136.0,483,6.6,235554.0,5.874841340002054,250000000,225764765,1236703796,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
No Time to Die,1632873600,163.0,214,7.3,407964.0,6.806907572810991,250000000,160891007,759959662,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Avatar,1261008000,162.0,664,7.9,1316701.0,8.05826073536452,237000000,785221649,2923706026,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Superman Returns,1151452800,154.0,201,6.1,285379.0,5.50590693615459,232000000,200120000,391081192,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
The Dark Knight Rises,1342656000,164.0,267,8.4,1715219.0,8.740035233306626,230000000,448139099,1082228107,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Quantum of Solace,1226620800,106.0,1050,6.6,453199.0,6.192610824190399,230000000,169368427,591692078,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
The Avengers,1335312000,143.0,899,8.0,1398299.0,8.197323632535053,225000000,623357910,1515100211,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Man of Steel,1371168000,143.0,1829,7.1,776933.0,6.953311491757371,225000000,291045518,667999518,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
The Chronicles of Narnia: Prince Caspian,1210896000,150.0,62,6.5,214204.0,5.738393132395458,225000000,141621490,417341288,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Lone Ranger,1372723200,150.0,578,6.4,237051.0,5.695804116260621,225000000,89302115,260002115,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
The Amazing Spider-Man,1340755200,136.0,1055,6.9,662352.0,6.672728072135562,220000000,262030663,757890267,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Battleship,1334102400,131.0,1334,5.8,250264.0,5.172610109412092,220000000,65233400,313477717,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Transformers: The Last Knight,1497916800,154.0,1142,5.2,154974.0,4.440515098474721,217000000,130168683,602893340,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Jurassic World,1433808000,124.0,280,6.9,648398.0,6.661918582447434,215000000,652306625,1669963641,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Men in Black 3,1337731200,106.0,123,6.8,367756.0,6.279739787287992,215000000,179020854,654213485,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Transformers: Revenge of the Fallen,1245801600,149.0,1142,5.9,410928.0,5.479333428445186,210000000,402111870,836519699,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Transformers: Age of Extinction,1403654400,165.0,1142,5.6,317585.0,5.087853719671651,210000000,245439076,1104054072,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
X-Men: The Last Stand,1148601600,104.0,180,6.6,521527.0,6.260802886347444,210000000,234362462,459260946,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Robin Hood,1273795200,140.0,1434,6.6,272567.0,5.9457112410343935,210000000,105487148,322459006,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
King Kong,1134518400,187.0,1348,7.2,428249.0,6.7375625153066885,207000000,218080025,550517357,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Golden Compass,1196985600,113.0,251,6.1,190939.0,5.32554706822808,205000000,70107728,367262558,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Tenet,1598400000,150.0,267,7.3,514633.0,6.93166210806086,205000000,58504105,360240189,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
Spider-Man: No Way Home,1639440000,148.0,859,8.2,766560.0,8.042900040645625,200000000,814115070,1910048245,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Black Panther,1518480000,134.0,1521,7.3,781855.0,7.156284784522189,200000000,700059566,1336494320,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Titanic,882403200,194.0,664,7.9,1186257.0,7.997621721075507,200000000,674171000,2222759773,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Incredibles 2,1529020800,118.0,170,7.6,301929.0,6.923757977013962,200000000,608581744,1242805359,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rogue One: A Star Wars Story,1481673600,133.0,525,7.8,645972.0,7.545908318214015,200000000,533539991,1055083596,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Toy Story 4,1560988800,100.0,890,7.7,255197.0,6.921329468283103,200000000,434038008,1073064540,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Toy Story 3,1276819200,103.0,1007,8.3,842260.0,8.200102493073304,200000000,415004880,1068879522,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Doctor Strange in the Multiverse of Madness,1651622400,126.0,1534,6.9,423056.0,6.445144198314582,200000000,411331607,952224986,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Iron Man 3,1366761600,130.0,1565,7.1,856737.0,7.004388484848575,200000000,408992272,1215392272,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Spider-Man 2,1088553600,127.0,1534,7.4,660254.0,7.164084608470866,200000000,373524485,794697557,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
The Batman,1646092800,176.0,1110,7.8,666559.0,7.563912548419399,200000000,369345583,767531825,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alice in Wonderland,1267660800,108.0,1693,6.4,420168.0,5.9653264487041415,200000000,334191110,1025491110,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Alice in Wonderland,1267660800,99.0,669,7.1,13.0,1.2080575532328128,200000000,334191110,1025491110,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Skyfall,1351209600,143.0,1531,7.8,702518.0,7.59406586392806,200000000,304360277,1110526981,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
The Hobbit: An Unexpected Journey,1355184000,169.0,1348,7.8,834654.0,7.692972919071989,200000000,303003568,1014938545,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Monsters University,1371772800,104.0,312,7.2,364912.0,6.652778271801097,200000000,268488329,743455810,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oz the Great and Powerful,1362700800,130.0,1534,6.3,209625.0,5.547754825679142,200000000,234770996,490359051,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
X-Men: Days of Future Past,1400630400,132.0,201,7.9,717548.0,7.705420031052482,200000000,233921534,747862775,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
The Amazing Spider-Man 2,1397606400,142.0,1055,6.6,503930.0,6.2441354582182775,200000000,202853933,708996336,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Black Widow,1625616000,134.0,215,6.7,384380.0,6.207246443686793,200000000,183651655,379751131,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Fast & Furious Presents: Hobbs & Shaw,1564531200,137.0,356,6.5,216379.0,5.743224613367826,200000000,173956935,760732926,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
F9: The Fast Saga,1621468800,143.0,917,5.2,135716.0,4.3897480570339855,200000000,173005945,720752238,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Tron: Legacy,1292544000,125.0,885,6.8,341289.0,6.24237155938012,200000000,172062763,399866199,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Black Adam,1666137600,125.0,699,6.4,217701.0,5.655707338098316,200000000,168152111,391261706,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,1257984000,158.0,1493,5.8,381780.0,5.352832557702589,200000000,166112167,757677748,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Eternals,1635897600,156.0,232,6.3,346556.0,5.780779112739637,200000000,164870264,401731759,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Fantastic Beasts: The Crimes of Grindelwald,1542153600,134.0,378,6.5,287829.0,5.879682716833985,200000000,159555901,648455339,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Terminator Salvation,1242864000,115.0,1128,6.5,365649.0,5.994128594612116,200000000,125322469,365491792,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Lightyear,1655251200,105.0,86,6.1,108089.0,5.070175692126519,200000000,118307188,218768299,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jungle Cruise,1627430400,127.0,699,6.6,194649.0,5.782217734597315,200000000,116987516,210469803,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Green Lantern,1308268800,114.0,1095,5.5,287768.0,4.954749009374178,200000000,116601172,219535492,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Fantastic Beasts: The Secrets of Dumbledore,1649203200,142.0,378,6.2,145189.0,5.290060431424351,200000000,95850844,404560145,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Onward,1582848000,102.0,312,7.4,152821.0,6.367351351339342,200000000,61555145,133357601,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wonder Woman 1984,1608076800,151.0,1306,5.4,271841.0,4.839644285704568,200000000,46801036,166360232,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Transformers: Dark of the Moon,1309305600,154.0,1142,6.2,413304.0,5.767276735446691,195000000,352390543,1123794079,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
The Mummy,1496361600,111.0,39,5.4,193203.0,4.703974028928738,195000000,80101125,409953905,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Jack the Giant Slayer,1361923200,114.0,201,6.3,141141.0,5.364403238514647,195000000,65187603,197687603,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Furious 7,1427846400,137.0,684,7.1,393939.0,6.598530746143006,190000000,353007020,1514553486,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Star Trek Into Darkness,1368662400,132.0,647,7.7,486220.0,7.286527968056871,190000000,228778661,467381584,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
World War Z,1371600000,116.0,1050,7.0,674856.0,6.780976951842739,190000000,202706711,531861650,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
The Great Gatsby,1368144000,143.0,126,7.2,552799.0,6.872799839457871,190000000,144840419,353640419,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Pacific Rim,1373500800,131.0,594,6.9,507168.0,6.5372036031647145,190000000,101802906,411002906,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
The Matrix Resurrections,1639612800,148.0,988,5.7,253860.0,5.087137352561872,190000000,40463197,159197755,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
The Good Dinosaur,1448409600,93.0,1359,6.7,118223.0,5.626025605206398,187500000,123087120,333771037,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iron Man,1209686400,126.0,851,7.9,1066239.0,7.935623135389752,186000000,318604126,585171547,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
The Dark Knight,1215734400,152.0,267,9.0,2669915.0,9.666756523123013,185000000,534987076,1006234167,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Indiana Jones and the Kingdom of the Crystal Skull,1211414400,122.0,1646,6.2,459414.0,5.815524625347974,185000000,317101119,786635413,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kong: Skull Island,1487808000,118.0,878,6.6,323849.0,6.029424483209237,185000000,168052812,561072059,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Star Trek Beyond,1469059200,122.0,917,7.0,248837.0,6.267135174774413,185000000,158848340,335673708,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Maleficent: Mistress of Evil,1571270400,119.0,756,6.6,107946.0,5.495926648771709,185000000,113929605,489181357,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Blade Runner 2049,1506643200,164.0,391,8.0,583843.0,7.683251681030377,185000000,92054159,258829058,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Terminator: Dark Fate,1571961600,128.0,1700,6.2,180934.0,5.390460647871416,185000000,62253077,250367666,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
The Suicide Squad,1627430400,132.0,674,7.2,358252.0,6.643020670984955,185000000,55817425,167097737,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aladdin,1558483200,128.0,598,6.9,270240.0,6.217610316485014,182000000,355559216,1046587513,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thor: Ragnarok,1508889600,130.0,1665,7.9,759901.0,7.738753354468393,180000000,315058289,850482778,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maleficent,1401235200,97.0,1475,6.9,380737.0,6.391638150943009,180000000,241407328,758536735,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Fantastic Beasts and Where to Find Them,1479081600,132.0,378,7.2,481094.0,6.799202017616572,180000000,234037575,811724385,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Rush Hour 3,1186704000,91.0,180,6.2,172160.0,5.367785546649506,180000000,140125968,256585882,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Legend of Tarzan,1466985600,110.0,378,6.2,179329.0,5.386396113697128,180000000,126643061,348902025,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hugo,1322006400,126.0,1100,7.5,326063.0,6.87335504106896,180000000,73864507,180047784,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Valerian and the City of a Thousand Planets,1500508800,136.0,1031,6.4,184549.0,5.577914303629846,180000000,40479370,215098356,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
X-Men: Apocalypse,1463529600,144.0,201,6.9,439904.0,6.4649696371246375,178000000,155442489,542537546,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
The Meg,1533772800,113.0,858,5.6,174428.0,4.8409572269217325,178000000,145443742,527267828,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Edge of Tomorrow,1401235200,113.0,431,7.9,685811.0,7.679125884760698,178000000,100206256,367028980,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
The Jungle Book,1459987200,106.0,851,7.4,280319.0,6.697651369676148,175000000,364001123,953535821,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spider-Man: Homecoming,1499212800,133.0,859,7.4,664568.0,7.167630428633221,175000000,334201140,878271291,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Suicide Squad,1470096000,123.0,336,5.9,691152.0,5.7050365429206,175000000,325100054,745744980,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Coco,1509062400,98.0,1232,7.4,37.0,1.834156036067751,175000000,210460015,797660271,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Cars 3,1497571200,102.0,183,6.7,104107.0,5.563344908696729,175000000,152901115,383541369,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G.I. Joe: The Rise of Cobra,1249603200,118.0,1611,5.7,210346.0,5.008282057550469,175000000,150201498,302469017,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Wild Wild West,930700800,106.0,123,4.9,162697.0,4.194258810461216,175000000,113805681,221229335,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
The Mummy: Tomb of the Dragon Emperor,1217548800,112.0,1439,5.2,163587.0,4.461208499972436,175000000,102491776,405760225,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Evan Almighty,1182470400,96.0,1734,5.4,149654.0,4.602496044740389,175000000,100289690,174131329,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Waterworld,806889600,135.0,964,6.2,199278.0,5.434511880928196,175000000,88246220,264246220,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Dolittle,1578441600,101.0,1605,5.6,66038.0,4.440769205140128,175000000,77047065,251509052,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
King Arthur: Legend of the Sword,1494460800,126.0,598,6.7,220293.0,5.932832650667543,175000000,39175066,139630336,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47 Ronin,1386288000,128.0,209,6.2,162556.0,5.341600856770748,175000000,38362475,151716815,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Top Gun: Maverick,1653004800,130.0,885,8.3,514562.0,7.899179357152834,170000000,718732821,1484765287,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jurassic World: Fallen Kingdom,1528243200,128.0,644,6.1,321196.0,5.558971046313156,170000000,417719760,1308323302,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Guardians of the Galaxy,1406764800,121.0,674,8.0,1187949.0,8.101365102817615,170000000,333714112,770882395,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iron Man 2,1273190400,124.0,851,6.9,824074.0,6.783634882943762,170000000,312433331,621156389,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Dawn of the Planet of the Apes,1404864000,130.0,1110,7.6,446158.0,7.142103671503376,170000000,208545589,710644566,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Polar Express,1100044800,100.0,1479,6.6,219432.0,5.840413678712384,170000000,188042855,312183437,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Snow White and the Huntsman,1338336000,127.0,1512,6.1,292619.0,5.517151060037797,170000000,155136755,401021746,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Terminator 3: Rise of the Machines,1057017600,109.0,872,6.3,403631.0,5.851446304231187,170000000,150358296,433058296,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Van Helsing,1083715200,131.0,1611,6.0,270620.0,5.390042908564552,170000000,120150546,300150546,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Dumbo,1553644800,112.0,1693,6.3,77707.0,5.08776613323652,170000000,114766307,353166307,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Godzilla: King of the Monsters,1559088000,132.0,1158,6.0,186254.0,5.225115076828253,170000000,110500138,383299914,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Tomorrowland,1432080000,130.0,170,6.4,184529.0,5.577863270447319,170000000,93436322,206627518,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alita: Battle Angel,1548979200,122.0,1471,7.3,273115.0,6.591377589208935,170000000,85838210,401900040,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Alice Through the Looking Glass,1463702400,113.0,662,6.2,112013.0,5.171721309193891,170000000,77042381,276928112,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Jurassic World: Dominion,1654041600,147.0,280,5.6,168517.0,4.826752647994571,165000000,376851080,1003775632,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Shrek Forever After,1274400000,95.0,1214,6.3,209632.0,5.547770303831174,165000000,238736787,756244673,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Doctor Strange,1477267200,115.0,1543,7.5,750205.0,7.333156664315835,165000000,232641920,676343174,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Wreck-It Ralph,1351728000,101.0,1408,7.7,428462.0,7.214885290722206,165000000,189412677,496511521,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Interstellar,1415145600,169.0,267,8.6,1852238.0,8.9998990584075,165000000,188017894,648785349,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Dune,1631664000,155.0,391,8.0,645897.0,7.7427050315779695,165000000,108327830,392073640,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Independence Day: Resurgence,1466553600,120.0,1493,5.2,181742.0,4.50147352619371,165000000,103144286,384169424,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Beauty and the Beast,1489622400,129.0,140,7.1,313837.0,6.479781380853268,160000000,504014165,1268697483,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Aquaman,1544054400,143.0,684,6.8,480429.0,6.413452704726316,160000000,335061807,1143758700,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Inception,1279238400,148.0,267,8.8,2368570.0,9.371470113829352,160000000,292576195,728537960,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
The Hunger Games: Mockingjay - Part 2,1447804800,137.0,500,6.5,332978.0,5.949366732004011,160000000,281723902,647396133,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Godzilla,1400025600,123.0,525,6.4,418010.0,5.9629017545942045,160000000,200676069,529076069,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
X-Men: First Class,1307059200,131.0,1120,7.7,697895.0,7.491275506755403,160000000,146408305,355408305,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
The Curious Case of Benjamin Button,1230163200,166.0,344,7.8,657446.0,7.556012421888529,160000000,127509326,329631958,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
The Sorcerer's Apprentice,1279065600,109.0,858,6.1,164251.0,5.257975302687107,160000000,63150991,217986320,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Poseidon,1147392000,98.0,1815,5.7,106477.0,4.722759079482731,160000000,60674817,181674817,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
